  299.55  300.55  301.55  302.55  303.54  304.54  305.54  306.53  307.53  308.53
  309.53  310.52  311.52  312.52  313.52  314.51  315.51  316.51  317.50  318.50
  319.50  320.49  321.49  322.49  323.48  324.48  325.48  326.47  327.47  328.46
  329.46  330.46  331.45  332.45  333.45  334.44  335.44  336.44  337.43  338.43
  339.43  340.42  341.42  342.41  343.41  344.41  345.40  346.40  347.40  348.39
  349.39  350.39  351.38  352.38  353.38  354.37  355.37  356.37  357.37  358.36
  359.36    0.36    1.35    2.35    3.35    4.35    5.34    6.34    7.34    8.33
    9.33   10.33   11.33   12.32   13.32   14.32   15.32   16.32   17.31   18.31
   19.31   20.31   21.31   22.30   23.30   24.30   25.30   26.30   27.29   28.29
   29.29   30.29   31.29   32.29   33.29   34.29   35.28   36.28   37.28   38.28
   39.28   40.28   41.28   42.28   43.28   44.28   45.28   46.28   47.28   48.28
   49.28   50.28   51.28   52.28   53.28   54.28   55.28   56.28   57.28   58.28
   59.28   60.28   61.28   62.28   63.28   64.28   65.28   66.28   67.28   68.28
   69.29   70.29   71.29   72.29   73.29   74.29   75.29   76.30   77.30   78.30
   79.30   80.30   81.31   82.31   83.31   84.31   85.31   86.32   87.32   88.32
   89.32   90.33   91.33   92.33   93.33   94.34   95.34   96.34   97.35   98.35
   99.35  100.36  101.36  102.36  103.36  104.37  105.37  106.37  107.38  108.38
  109.38  110.39  111.39  112.40  113.40  114.40  115.41  116.41  117.41  118.42
  119.42  120.43  121.43  122.43  123.44  124.44  125.45  126.45  127.45  128.46
  129.46  130.47  131.47  132.47  133.48  134.48  135.49  136.49  137.49  138.50
  139.50  140.51  141.51  142.51  143.52  144.52  145.53  146.53  147.53  148.54
  149.54  150.55  151.55  152.55  153.56  154.56  155.57  156.57  157.57  158.58
  159.58  160.59  161.59  162.59  163.60  164.60  165.60  166.61  167.61  168.62
  169.62  170.62  171.63  172.63  173.63  174.64  175.64  176.64  177.64  178.65
  179.65  180.65  181.66  182.66  183.66  184.67  185.67  186.67  187.67  188.68
  189.68  190.68  191.68  192.69  193.69  194.69  195.69  196.69  197.70  198.70
  199.70  200.70  201.70  202.71  203.71  204.71  205.71  206.71  207.71  208.71
  209.72  210.72  211.72  212.72  213.72  214.72  215.72  216.72  217.72  218.72
  219.72  220.72  221.72  222.72  223.72  224.72  225.72  226.72  227.72  228.72
  229.72  230.72  231.72  232.72  233.72  234.72  235.72  236.72  237.72  238.72
  239.72  240.72  241.72  242.72  243.71  244.71  245.71  246.71  247.71  248.71
  249.71  250.71  251.70  252.70  253.70  254.70  255.70  256.69  257.69  258.69
  259.69  260.69  261.68  262.68  263.68  264.68  265.68  266.67  267.67  268.67
  269.67  270.66  271.66  272.66  273.65  274.65  275.65  276.65  277.64  278.64
  279.64  280.63  281.63  282.63  283.63  284.62  285.62  286.62  287.61  288.61
  289.61  290.60  291.60  292.60  293.59  294.59  295.59  296.58  297.58  298.57
  299.57  300.57  301.56  302.56  303.56  304.55  305.55  306.55  307.54  308.54
  309.54  310.53  311.53  312.52  313.52  314.52  315.51  316.51  317.51  318.50
  319.50  320.49  321.49  322.48  323.48  324.47  325.47  326.46  327.46  328.45
  329.45  330.45  331.44  332.44  333.43  334.43  335.42  336.42  337.41  338.41
  339.40  340.40  341.40  342.39  343.39  344.38  345.38  346.37  347.37  348.36
  349.36  350.36  351.35  352.35  353.34  354.34  355.34  356.33  357.33  358.32
  359.32    0.32    1.31    2.31    3.31    4.30    5.30    6.29    7.29    8.29
    9.28   10.28   11.28   12.28   13.27   14.27   15.27   16.26   17.26   18.26
   19.25   20.25   21.25   22.25   23.24   24.24   25.24   26.24   27.24   28.23
